MQ4,MQ3,MQ7,MQ135,MQ136,Temp,Hum,PM,Label
322,242,449,271,432,21.6,35.5,625,0
312,246,448,264,430,21.6,35.5,599,0
320,246,445,215,424,21.6,35.8,685,0
320,250,450,246,431,21.6,35.5,568,0
320,247,448,230,428,21.6,35.4,620,0
321,247,454,239,430,21.6,35.4,666,0
320,247,439,229,435,21.6,35.4,644,0
318,235,454,209,430,21.6,35.4,672,0
310,246,436,229,431,21.6,35.4,631,0
322,249,442,306,434,21.6,35.5,560,0
323,247,447,210,432,21.6,35.4,562,0
323,230,449,216,436,21.6,35.4,698,0
308,246,436,234,434,21.6,35.4,735,0
320,242,476,227,426,21.6,35.4,726,0
326,241,448,219,425,21.6,35.4,715,0
316,256,454,304,432,21.6,35.6,901,0
316,230,452,219,432,21.6,35.3,654,0
317,245,448,264,458,21.6,35.4,697,0
329,248,440,228,433,21.6,35.4,675,0
336,245,449,231,428,21.6,35.4,692,0
313,235,450,225,431,21.6,35.3,687,0
310,248,441,225,429,21.6,35.4,709,0
315,251,436,234,430,21.6,35.4,841,0
320,248,451,232,428,21.5,35.5,731,0
318,249,489,230,429,21.6,35.4,661,0
326,240,453,224,434,21.5,35.6,615,0
315,242,473,229,427,21.6,35.4,629,0
337,250,446,230,446,21.7,35.4,581,0
317,243,450,216,430,21.6,35.4,711,0
324,231,458,214,435,21.6,35.4,696,0
318,280,454,215,435,21.6,35.3,622,0
309,249,443,232,435,21.5,35.7,719,0
305,244,442,235,430,21.5,35.5,731,0
312,252,447,176,432,21.6,35.4,581,0
331,244,448,180,437,21.6,35.4,598,0
312,243,446,230,426,21.6,35.4,598,0
316,243,452,253,436,21.5,35.5,724,0
320,247,450,224,437,21.6,35.5,1085,0
322,246,447,225,429,21.6,35.4,701,0
298,251,441,234,445,21.5,35.6,694,0
316,242,446,229,430,21.6,35.8,737,0
324,241,444,231,430,21.6,35.5,729,0
325,244,455,225,435,21.6,35.5,609,0
318,252,454,225,430,21.5,35.5,1028,0
320,249,455,244,433,21.5,35.7,607,0
312,251,448,214,430,21.6,35.5,699,0
324,249,456,232,431,21.6,35.4,655,0
318,251,451,274,434,21.5,35.6,671,0
309,240,435,230,425,21.6,35.5,701,0
320,243,446,234,430,21.5,35.6,699,0
320,231,451,219,431,21.6,35.6,792,0
285,250,440,233,430,21.5,35.9,673,0
321,247,453,228,436,21.5,35.6,760,0
316,250,456,223,418,21.6,35.6,655,0
320,243,449,230,431,21.5,35.6,518,0
322,256,450,247,431,21.6,35.5,679,0
323,242,449,226,427,21.6,35.5,717,0
335,239,454,226,442,21.6,35.5,700,0
316,243,456,230,430,21.6,35.5,623,0
291,258,431,227,428,21.6,35.3,695,0
323,244,444,230,430,21.6,35.5,734,0
301,253,442,271,419,21.6,35.6,624,0
311,250,435,231,427,21.6,35.6,572,0
321,260,447,226,433,21.5,35.6,675,0
315,242,448,227,431,21.6,35.5,731,0
318,243,440,237,417,21.6,35.5,622,0
321,252,452,232,441,21.6,35.6,637,0
321,245,452,228,435,21.6,35.5,694,0
318,257,454,265,427,21.6,35.5,757,0
316,243,450,222,429,21.6,35.5,646,0
321,232,451,219,434,21.6,35.5,745,0
308,243,430,232,436,21.6,35.5,692,0
318,251,448,244,432,21.6,35.5,695,0
321,251,444,230,433,21.6,35.5,649,0
310,243,435,230,430,21.5,35.6,725,0
317,249,444,251,437,21.6,35.5,523,0
320,249,450,226,434,21.6,35.5,677,0
324,249,446,236,432,21.5,35.4,638,0
322,248,452,236,436,21.6,35.8,614,0
320,240,448,226,431,21.6,35.5,688,0
318,250,452,221,432,21.6,35.5,581,0
315,242,444,216,430,21.6,35.5,705,0
303,253,438,233,430,21.6,35.5,662,0
321,240,445,222,426,21.6,35.5,270,0
320,237,447,222,428,21.5,35.6,613,0
321,241,481,237,439,21.6,35.5,697,0
315,250,438,213,422,21.5,35.6,640,0
