Time,MQ4,MQ3,MQ7,MQ135,MQ136,Temp,Hum,PM25,Label
1900-01-01 19:40:03.399,507.0,426.0,524.0,160.0,495.0,25.5,42.1,629.0,0
1900-01-01 19:40:03.928,517.0,432.0,537.0,162.0,506.0,25.5,42.1,751.0,0
1900-01-01 19:40:04.455,510.0,416.0,532.0,156.0,506.0,25.5,42.1,634.0,0
1900-01-01 19:40:04.983,501.0,434.0,524.0,160.0,502.0,25.5,42.1,585.0,0
1900-01-01 19:40:05.511,530.0,435.0,526.0,161.0,540.0,25.5,42.1,642.0,0
1900-01-01 19:40:06.039,487.0,425.0,534.0,161.0,496.0,25.5,42.1,597.0,0
1900-01-01 19:40:06.567,505.0,440.0,530.0,162.0,489.0,25.5,42.1,641.0,0
1900-01-01 19:40:07.094,506.0,431.0,524.0,156.0,497.0,25.4,42.2,640.0,0
1900-01-01 19:40:07.623,516.0,422.0,525.0,148.0,495.0,25.5,42.1,699.0,0
1900-01-01 19:40:08.150,489.0,419.0,524.0,150.0,498.0,25.5,42.1,691.0,0
1900-01-01 19:40:08.679,492.0,423.0,528.0,159.0,492.0,25.5,42.1,621.0,0
1900-01-01 19:40:09.207,495.0,428.0,522.0,156.0,494.0,25.5,42.1,667.0,0
1900-01-01 19:40:09.735,512.0,428.0,528.0,166.0,503.0,25.5,42.1,665.0,0
1900-01-01 19:40:10.263,505.0,427.0,521.0,153.0,481.0,25.5,42.1,678.0,0
1900-01-01 19:40:10.790,508.0,416.0,526.0,160.0,553.0,25.5,42.1,663.0,0
1900-01-01 19:40:11.318,519.0,427.0,528.0,147.0,506.0,25.5,42.1,591.0,0
1900-01-01 19:40:11.847,513.0,428.0,530.0,197.0,504.0,25.5,42.1,553.0,0
1900-01-01 19:40:12.375,522.0,433.0,530.0,166.0,504.0,25.5,42.1,656.0,0
1900-01-01 19:40:12.903,509.0,428.0,533.0,164.0,506.0,25.5,42.1,865.0,0
1900-01-01 19:40:13.431,507.0,433.0,530.0,164.0,505.0,25.5,42.1,788.0,0
1900-01-01 19:40:13.958,502.0,404.0,530.0,154.0,500.0,25.5,42.1,1029.0,0
1900-01-01 19:40:14.488,507.0,432.0,562.0,157.0,504.0,25.5,42.1,701.0,0
1900-01-01 19:40:15.016,506.0,425.0,616.0,159.0,498.0,25.5,42.1,809.0,0
1900-01-01 19:40:15.544,507.0,431.0,606.0,166.0,499.0,25.5,42.1,715.0,0
1900-01-01 19:40:16.072,510.0,442.0,596.0,171.0,506.0,25.5,42.1,840.0,0
1900-01-01 19:40:16.600,502.0,428.0,582.0,166.0,500.0,25.5,42.1,714.0,0
1900-01-01 19:40:17.128,512.0,439.0,590.0,166.0,504.0,25.5,42.1,686.0,0
1900-01-01 19:40:17.655,508.0,433.0,635.0,170.0,508.0,25.5,42.1,721.0,0
1900-01-01 19:40:18.183,502.0,427.0,648.0,173.0,458.0,25.5,42.1,643.0,0
1900-01-01 19:40:18.712,497.0,467.0,690.0,174.0,500.0,25.5,42.1,653.0,0
1900-01-01 19:40:19.240,501.0,421.0,1010.0,186.0,503.0,25.5,42.1,1761.0,1
1900-01-01 19:40:19.769,498.0,421.0,1012.0,192.0,506.0,25.5,42.1,941.0,1
1900-01-01 19:40:20.297,499.0,440.0,970.0,189.0,504.0,25.5,42.1,699.0,0
1900-01-01 19:40:20.826,499.0,434.0,872.0,188.0,501.0,25.5,42.1,1242.0,0
